file,tranche,eng,tier,status,inSize,outSize,saved,ssimMin,ssimMean,dim,renderFail,opens,qpdfOk,secs,note,flagged
arxiv-2607.05260.pdf,arxiv,hyper,lossless,,1019971,797230,21.84,0.991,0.997,false,false,true,true,0.37,,
arxiv-2607.05260.pdf,arxiv,hyper,q300,,1019971,519397,49.08,0.991,0.997,false,false,true,true,0.71,,
arxiv-2607.05260.pdf,arxiv,hyper,q150,,1019971,366715,64.05,0.986,0.995,false,false,true,true,0.43,,
arxiv-2607.05260.pdf,arxiv,hyper,q72,,1019971,241966,76.28,0.926,0.984,false,false,true,true,0.22,,
arxiv-2607.05260.pdf,arxiv,gs,lossless,,1019971,1186332,-16.31,0.991,0.998,false,false,true,true,0.35,,
arxiv-2607.05260.pdf,arxiv,gs,q300,,1019971,994697,2.48,0.991,0.998,false,false,true,true,0.31,,
arxiv-2607.05260.pdf,arxiv,gs,q150,,1019971,605959,40.59,0.985,0.996,false,false,true,true,0.35,,
arxiv-2607.05260.pdf,arxiv,gs,q72,,1019971,317895,68.83,0.918,0.984,false,false,true,true,0.34,,
arxiv-2607.05260.pdf,arxiv,mutool,lossless,,1019971,984230,3.5,1,1,false,false,true,true,0.02,,
arxiv-2607.05260.pdf,arxiv,mutool,q300,,1019971,982672,3.66,1,1,false,false,true,true,0.13,,
arxiv-2607.05260.pdf,arxiv,mutool,q150,,1019971,787305,22.81,0.992,0.999,false,false,true,true,0.12,,
arxiv-2607.05260.pdf,arxiv,mutool,q72,,1019971,440378,56.82,0.918,0.986,false,false,true,true,0.09,,
arxiv-2607.05260.pdf,arxiv,qpdf,lossless,,1019971,962684,5.62,1,1,false,false,true,true,0.33,,
arxiv-2607.04894.pdf,arxiv,hyper,lossless,,22014218,22014218,0,1,1,false,false,true,true,5.07,,
arxiv-2607.04894.pdf,arxiv,hyper,q300,,22014218,2257531,89.75,1,1,false,false,true,true,2.88,,
arxiv-2607.04894.pdf,arxiv,hyper,q150,,22014218,1042754,95.26,0.986,0.998,false,false,true,true,1.75,,
arxiv-2607.04894.pdf,arxiv,hyper,q72,,22014218,522162,97.63,0.976,0.997,false,false,true,true,1.03,,
arxiv-2607.04894.pdf,arxiv,gs,lossless,,22014218,4665854,78.81,0.993,0.997,false,false,true,true,2.16,,
arxiv-2607.04894.pdf,arxiv,gs,q300,,22014218,3110032,85.87,0.993,0.997,false,false,true,true,2.12,,
arxiv-2607.04894.pdf,arxiv,gs,q150,,22014218,1339525,93.92,0.987,0.995,false,false,true,true,1.82,,
arxiv-2607.04894.pdf,arxiv,gs,q72,,22014218,845770,96.16,0.978,0.994,false,false,true,true,1.11,,
arxiv-2607.04894.pdf,arxiv,mutool,lossless,,22014218,21967402,0.21,1,1,false,false,true,true,0.05,,
arxiv-2607.04894.pdf,arxiv,mutool,q300,,22014218,3446848,84.34,1,1,false,false,true,true,0.56,,
arxiv-2607.04894.pdf,arxiv,mutool,q150,,22014218,1715701,92.21,0.987,0.998,false,false,true,true,0.43,,
arxiv-2607.04894.pdf,arxiv,mutool,q72,,22014218,1341057,93.91,0.978,0.997,false,false,true,true,0.38,,
arxiv-2607.04894.pdf,arxiv,qpdf,lossless,,22014218,24194088,-9.9,1,1,false,false,true,true,4.63,,
arxiv-2607.05019.pdf,arxiv,hyper,lossless,,2742748,2445171,10.85,1,1,false,false,true,true,2.04,,
arxiv-2607.05019.pdf,arxiv,hyper,q300,,2742748,1988236,27.51,1,1,false,false,true,true,2.36,,
arxiv-2607.05019.pdf,arxiv,hyper,q150,,2742748,893618,67.42,0.998,0.999,false,false,true,true,0.76,,
arxiv-2607.05019.pdf,arxiv,hyper,q72,,2742748,360163,86.87,0.993,0.998,false,false,true,true,0.41,,
arxiv-2607.05019.pdf,arxiv,gs,lossless,,2742748,3198466,-16.62,1,1,false,false,true,true,1.57,,
arxiv-2607.05019.pdf,arxiv,gs,q300,,2742748,2601045,5.17,1,1,false,false,true,true,1.5,,
arxiv-2607.05019.pdf,arxiv,gs,q150,,2742748,1102889,59.79,0.997,0.999,false,false,true,true,1.39,,
arxiv-2607.05019.pdf,arxiv,gs,q72,,2742748,543715,80.18,0.994,0.998,false,false,true,true,1.33,,
arxiv-2607.05019.pdf,arxiv,mutool,lossless,,2742748,2611495,4.79,1,1,false,false,true,true,0.04,,
